,MinTemp,MaxTemp,Rainfall
0,8.0,24.3,0.0
1,14.0,26.9,3.6
2,13.7,23.4,3.6
3,13.3,15.5,39.8
4,7.6,16.1,2.8
5,6.2,16.9,0.0
6,6.1,18.2,0.2
7,8.3,17.0,0.0
8,8.8,19.5,0.0
9,8.4,22.8,16.2
10,9.1,25.2,0.0
11,8.5,27.3,0.2
12,10.1,27.9,0.0
13,12.1,30.9,0.0
14,10.1,31.2,0.0
15,12.4,32.1,0.0
16,13.8,31.2,0.0
17,11.7,30.0,1.2
18,12.4,32.3,0.6
19,15.6,33.4,0.0
20,15.3,33.4,0.0
21,16.4,19.4,0.4
22,12.8,18.5,25.8
23,12.0,24.3,0.4
24,15.4,28.4,0.0
25,15.6,26.9,0.0
26,13.3,22.2,0.2
27,12.9,28.0,0.0
28,15.1,24.3,0.0
29,13.6,24.1,0.4
30,15.1,20.4,22.6
31,11.6,26.3,4.2
32,16.6,24.2,0.2
33,13.3,26.5,6.6
34,14.5,21.8,0.0
35,16.3,26.8,0.0
36,17.2,25.8,0.0
37,16.5,28.2,4.0
38,15.0,29.4,0.0
39,14.9,24.8,0.0
40,11.8,18.5,0.6
41,11.7,21.5,0.0
42,9.6,20.3,0.0
43,8.9,27.1,0.0
44,10.1,29.9,0.0
45,15.5,21.1,5.4
46,10.8,21.7,1.4
47,7.5,20.9,0.0
48,12.8,21.0,0.0
49,12.6,23.1,3.4
50,14.8,29.5,6.4
51,19.9,22.0,11.0
52,9.2,20.4,17.4
53,12.4,24.4,0.0
54,11.3,21.7,3.4
55,9.8,26.3,0.0
56,14.3,26.7,0.0
57,15.1,28.3,14.4
58,14.4,31.6,0.0
59,15.4,35.0,0.0
60,13.8,33.5,0.0
61,13.6,34.2,0.0
62,14.3,35.0,0.0
63,15.9,23.4,0.0
64,16.7,25.3,0.0
65,12.1,27.5,0.0
66,14.3,34.1,0.0
67,16.5,33.9,0.0
68,16.5,30.3,0.0
69,17.5,29.9,0.0
70,14.7,34.2,0.0
71,17.5,35.8,0.0
72,20.9,35.7,0.0
73,17.0,33.8,2.0
74,16.0,22.8,0.0
75,15.4,33.8,0.0
76,17.9,33.2,0.0
77,15.2,25.1,4.8
78,15.1,20.4,0.0
79,15.3,19.6,18.8
80,17.2,24.7,12.2
81,15.9,19.9,0.8
82,10.0,22.5,0.0
83,9.9,24.4,0.0
84,10.3,27.8,0.0
85,15.4,25.7,0.0
86,12.7,28.8,0.0
87,13.2,31.3,0.0
88,15.3,33.2,0.0
89,17.9,33.9,0.0
90,18.0,34.9,0.0
91,17.6,27.8,5.2
92,16.0,23.8,2.2
93,14.9,28.8,0.0
94,17.1,29.6,0.0
95,18.2,22.6,1.8
96,16.8,22.8,9.0
97,13.6,27.4,1.0
98,14.5,24.2,0.0
99,12.4,19.9,16.2
100,10.4,20.9,0.0
101,9.1,23.1,0.0
102,8.9,26.0,0.0
103,14.5,24.2,4.4
104,12.6,18.2,11.0
105,8.6,24.2,0.2
106,10.8,25.2,0.0
107,11.2,26.1,0.0
108,12.1,24.1,0.0
109,10.8,25.8,0.0
110,11.4,27.1,0.0
111,12.0,28.9,0.0
112,16.3,24.8,1.8
113,12.7,28.6,6.6
114,12.7,25.1,0.0
115,12.0,23.8,0.0
116,11.5,25.9,0.0
117,13.0,28.2,0.0
118,11.7,27.6,0.0
119,14.8,17.3,0.0
120,7.7,18.4,10.4
121,4.4,21.8,0.0
122,7.4,24.4,0.0
123,8.3,27.3,0.0
124,10.1,28.2,0.0
125,12.0,27.6,0.0
126,12.9,31.8,0.0
127,10.8,29.2,0.0
128,9.5,27.4,3.0
129,12.1,27.8,0.0
130,12.5,31.7,0.0
131,13.9,34.7,0.0
132,13.3,31.7,0.2
133,13.2,33.1,0.0
134,12.3,33.8,0.0
135,13.8,35.2,0.0
136,11.3,32.3,0.0
137,11.7,30.2,0.0
138,12.5,29.9,0.0
139,15.1,26.2,0.0
140,11.5,29.3,0.0
141,13.0,14.8,0.0
142,11.6,19.6,0.0
143,12.8,24.9,0.0
144,15.5,22.4,0.6
145,13.1,17.4,6.4
146,12.6,20.2,19.8
147,4.4,18.3,0.0
148,4.4,18.2,0.0
149,7.1,18.5,0.0
150,4.2,18.9,0.0
151,9.6,18.8,0.0
152,3.5,21.8,0.0
153,5.3,23.3,0.0
154,7.0,14.3,2.6
155,0.4,18.9,0.0
156,3.2,21.4,0.0
157,5.9,21.8,0.0
158,8.1,20.5,0.0
159,6.9,18.9,0.0
160,5.6,19.5,0.0
161,7.2,22.9,0.0
162,7.1,23.4,0.0
163,6.1,24.1,0.0
164,7.1,19.8,2.0
165,5.6,18.0,5.2
166,5.4,20.7,0.0
167,6.3,19.3,0.0
168,5.3,21.0,0.0
169,7.9,19.7,0.0
170,8.4,16.1,0.0
171,8.1,18.7,0.0
172,2.4,20.6,0.0
173,5.6,18.9,0.0
174,7.5,19.0,0.0
175,2.5,21.2,0.0
176,5.0,20.9,0.0
177,3.8,21.7,0.2
178,7.9,18.7,0.0
179,4.3,11.3,7.2
180,-2.1,13.8,0.2
181,-1.8,14.8,0.0
182,3.8,13.8,0.0
183,2.1,17.3,0.0
184,0.5,17.1,0.0
185,-0.9,16.7,0.0
186,0.4,19.0,0.0
187,7.5,16.8,0.0
188,8.3,17.6,0.0
189,-0.2,18.1,0.0
190,0.1,21.0,0.0
191,1.5,20.9,0.0
192,8.3,17.4,0.0
193,9.4,19.2,0.0
194,1.3,19.0,0.0
195,2.2,18.6,0.0
196,-0.4,17.9,0.0
197,4.5,16.0,1.8
198,7.9,12.3,1.0
199,4.3,14.1,0.8
200,-2.7,18.1,0.0
201,0.3,17.0,0.0
202,3.8,17.4,0.0
203,2.4,14.7,0.0
204,1.2,14.8,0.0
205,1.2,14.5,0.0
206,-0.3,17.5,0.0
